;match_id;wh_home_win_odds;wh_draw_odds;wh_away_win_odds
0;1;1.7;3.3;4.33
1;2;1.83;3.3;3.6
2;3;2.5;3.25;2.4
3;4;1.44;3.75;6.0
4;5;4.2;3.4;1.7
5;6;4.2;3.4;1.7
6;7;1.83;3.3;3.6
7;8;2.7;3.25;2.25
8;9;2.2;3.25;2.75
9;10;1.35;4.2;7.0
10;11;1.25;4.5;9.5
11;12;2.6;3.1;2.4
12;13;1.8;3.3;3.75
13;14;2.75;3.2;2.25
14;15;1.7;3.4;4.2
15;16;2.2;3.2;2.8
16;17;5.25;3.5;1.55
17;18;4.0;3.3;1.75
18;19;1.3;4.2;8.5
19;20;2.3;3.25;2.6
20;21;3.0;3.2;2.1
21;22;1.8;3.4;3.6
22;23;1.4;4.0;7.0
23;24;1.9;3.4;3.25
24;25;2.05;3.25;3.0
25;26;2.5;3.25;2.4
26;27;3.25;3.25;1.95
27;28;2.15;3.1;3.0
28;29;1.25;4.8;9.0
29;30;1.9;3.25;3.5
30;31;3.2;3.2;2.0
31;32;2.1;3.2;3.0
32;33;2.1;3.2;3.0
33;34;2.25;3.2;2.75
34;35;3.2;3.2;2.0
35;36;2.3;3.1;2.7
36;37;1.45;4.0;6.25
37;38;1.35;4.3;7.75
38;39;4.2;3.4;1.75
39;40;1.5;3.8;5.75
40;41;1.6;3.6;5.0
41;42;2.1;3.2;3.2
42;43;2.5;3.15;2.6
43;44;2.3;3.2;2.62
44;45;2.25;3.2;2.9
45;46;1.33;4.2;7.5
46;47;1.7;3.4;4.2
47;48;2.3;3.25;2.6
48;49;1.36;3.75;8.0
49;50;5.0;3.5;1.57
50;51;5.0;3.4;1.6
51;52;2.2;3.2;2.8
52;53;2.2;3.2;2.8
53;54;1.6;3.25;5.5
54;55;1.22;5.0;9.5
55;56;1.3;4.5;7.5
56;57;2.1;3.2;3.0
57;58;1.65;3.4;4.5
58;59;2.25;3.2;2.75
59;60;2.75;3.2;2.25
60;61;3.2;3.2;2.0
61;62;3.0;3.2;2.1
62;63;2.2;3.25;2.75
63;64;2.3;3.1;2.7
64;65;1.57;3.5;5.0
65;66;2.1;3.25;2.9
66;67;1.5;3.4;6.0
67;68;2.75;3.2;2.25
68;69;2.25;3.2;2.75
69;70;6.5;3.6;1.44
70;71;2.4;3.25;2.5
71;72;2.0;3.2;3.2
72;73;1.6;3.4;4.8
73;74;1.5;3.4;6.0
74;75;2.3;3.25;2.6
75;76;1.7;3.25;4.33
76;77;1.44;3.75;6.0
77;78;1.73;3.25;4.2
78;79;2.7;3.2;2.25
79;80;2.4;3.2;2.5
80;81;1.67;3.4;4.33
81;82;2.5;3.1;2.5
82;83;2.0;3.2;3.2
83;84;1.33;4.0;8.0
84;85;2.6;3.25;2.3
85;86;1.17;6.0;10.0
86;87;1.4;3.75;7.0
87;88;1.67;3.4;4.33
88;89;1.5;3.6;5.5
89;90;2.1;3.2;3.0
90;91;2.6;3.25;2.3
91;92;2.75;3.2;2.25
92;93;2.9;3.25;2.1
93;94;1.5;3.6;5.5
94;95;2.5;3.1;2.5
95;96;2.8;3.25;2.2
96;97;2.3;3.25;2.6
97;98;1.57;3.5;5.0
98;99;2.5;3.25;2.4
99;100;1.35;4.2;7.0
100;101;1.6;3.4;4.8
101;102;1.36;4.0;7.0
102;103;2.75;3.25;2.2
103;104;1.62;3.5;4.5
104;105;1.67;3.4;4.33
105;106;2.0;3.3;3.1
106;107;2.5;3.3;2.38
107;108;1.62;3.5;4.5
108;109;3.8;3.25;1.8
109;110;2.3;3.3;2.6
